cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,cadical-2019,chaff-2001,cryptominisat-fixed-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,posit-fixed-1995,precosat-2009,rsat-fixed-2007,satelite-gti-2005,sbva-cadical-2023,zchaff-2004
manthey_DimacsSorterHalf_31_8,SATISFIABLE,1.75,1080.04,76.58,99.56,FAILED,1598.54,94.07,30.38,FAILED,25.81,28.25,28.15,FAILED,54.81,125.61,85.96,64.79,622.86,145.07,1.36,25.17,FAILED,191.33,19.17,1.66,182.43,FAILED
manthey_DimacsSorterHalf_33_1,SATISFIABLE,2.31,10.83,FAILED,0.46,4.43,4.22,4215.44,0.69,0.08,0.76,4.01,3.97,2.14,4.32,1.73,0.29,12.72,8.48,9.44,FAILED,0.08,4.07,0.55,FAILED,FAILED,2.95,73.04
manthey_DimacsSorterHalf_37_3,SATISFIABLE,FAILED,FAILED,FAILED,4881.68,FAILED,FAILED,FAILED,FAILED,FAILED,1471.46,111.97,111.50,FAILED,FAILED,2325.23,2888.38,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2622.32,FAILED,FAILED,100.55,FAILED
manthey_DimacsSorterHalf_37_6,SATISFIABLE,1014.75,FAILED,330.19,8.49,FAILED,111.41,4.38,FAILED,FAILED,6.84,7.78,7.77,FAILED,1672.95,163.71,1196.12,FAILED,2110.07,FAILED,0.58,3.33,FAILED,133.63,42.54,17.35,43.46,FAILED
manthey_DimacsSorterHalf_37_8,SATISFIABLE,265.39,34.07,3.00,30.50,3700.76,86.38,90.96,53.83,FAILED,6.16,142.72,141.12,148.91,6.59,7.20,368.03,445.36,485.18,339.83,2.71,17.93,FAILED,54.37,14.07,0.22,33.89,432.10
manthey_DimacsSorterHalf_37_9,SATISFIABLE,FAILED,FAILED,466.60,778.56,FAILED,FAILED,FAILED,1342.16,FAILED,268.28,769.20,765.02,325.23,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,43.64,482.13,FAILED,2987.16,303.94,8.12,192.76,FAILED
manthey_DimacsSorter_30_4,SATISFIABLE,73.48,54.28,719.52,23.72,1882.87,15.91,90.55,74.13,FAILED,71.50,69.45,32.05,FAILED,136.95,4.19,61.37,37.03,86.90,76.76,71.22,73.82,1110.76,97.07,151.45,49.18,30.12,FAILED
manthey_DimacsSorter_31_0,SATISFIABLE,9.88,187.07,1.16,1.62,2282.64,17.41,18.69,1.94,FAILED,36.24,2.06,2.15,310.85,17.59,39.47,61.87,59.43,70.04,170.16,6.19,18.15,2572.95,73.90,72.90,2.55,1.98,FAILED
manthey_DimacsSorter_31_4,SATISFIABLE,57.75,107.45,FAILED,7.13,551.69,97.48,8.14,38.06,FAILED,12.23,8.05,7.96,948.44,40.11,33.16,47.57,59.93,14.30,9.32,305.47,1.96,100.61,120.60,FAILED,2217.59,3.37,FAILED
manthey_DimacsSorter_31_6,SATISFIABLE,6.73,250.96,19.89,25.60,898.66,9.42,8.62,32.00,68.59,6.42,1.38,1.26,154.72,32.09,9.92,53.74,80.10,81.01,77.81,3.36,0.77,540.35,1.55,0.19,0.12,1.91,FAILED
manthey_DimacsSorter_36_4,SATISFIABLE,1952.42,2973.34,182.92,117.08,FAILED,4041.09,3.30,1079.65,FAILED,40.36,22.50,22.46,FAILED,247.63,530.77,104.97,107.68,51.31,677.26,4.18,118.47,887.75,1529.74,30.82,7.67,110.93,FAILED
manthey_single-ordered-initialized-w12-b6,SATISFIABLE,0.02,0.01,0.03,0.02,0.02,0.02,0.04,0.04,0.06,0.01,0.01,0.01,0.02,0.05,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.35,0.01,0.04,0.03,0.35,0.02
manthey_single-ordered-initialized-w14-b7,SATISFIABLE,0.05,0.02,0.16,0.01,0.02,0.03,0.05,0.05,0.28,0.01,0.01,0.01,0.04,0.12,0.14,0.02,0.05,0.06,0.06,0.02,0.03,1.23,0.04,0.07,0.04,0.26,0.03
manthey_single-ordered-initialized-w18-b7,UNSATISFIABLE,0.10,0.10,1.37,0.12,0.17,0.08,0.09,0.10,10.41,0.08,0.07,0.08,0.22,0.18,0.22,0.09,0.26,0.26,0.30,0.09,0.06,3.86,0.10,0.15,0.12,0.32,0.14
manthey_single-ordered-initialized-w18-b8,UNSATISFIABLE,0.12,0.12,2.16,0.09,0.17,0.11,0.10,0.09,6.43,0.11,0.11,0.11,0.27,0.28,0.36,0.08,0.15,0.17,0.19,0.08,0.05,6.84,0.11,0.12,0.10,0.45,0.15
