cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,cadical-2019,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,glucose-2016,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2010,lingeling-2011,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2005,minisat-2006,minisat-2008,picosat-2007,precosat-2009,rsat-2007,satelite-gti-2005,siege-2003,zchaff-2004,zchaff-2007
div-mitern171,UNSATISFIABLE,500.13,FAILED,FAILED,157.20,FAILED,481.23,332.04,332.11,236.56,FAILED,132.12,159.23,137.87,FAILED,597.39,445.75,490.66,627.30,188.02,253.32,186.47,214.09,1196.42,969.28,2107.70,FAILED,2137.83,FAILED,1425.77,FAILED,FAILED,FAILED
div-mitern174,UNSATISFIABLE,67.91,393.16,FAILED,36.61,FAILED,82.98,69.37,60.75,46.06,FAILED,30.45,46.23,41.10,FAILED,101.04,66.92,90.28,126.98,56.31,91.97,65.41,71.77,162.50,162.93,195.51,1699.00,249.38,444.95,178.48,FAILED,FAILED,FAILED
div_miter_lec_1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
div_miter_lec_3,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
div_miter_lec_4,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
ecarev-110-4099-22-30-7,SATISFIABLE,593.77,FAILED,FAILED,810.27,FAILED,FAILED,264.39,291.99,330.08,FAILED,397.85,403.67,441.64,FAILED,709.41,1412.38,210.87,320.35,236.96,239.11,284.01,199.35,FAILED,FAILED,336.56,FAILED,4271.72,2273.11,FAILED,FAILED,FAILED,FAILED
edit_distance041_183,UNSATISFIABLE,383.23,308.51,FAILED,243.37,2790.45,220.91,186.23,176.95,155.90,FAILED,319.60,341.43,199.73,FAILED,583.34,376.54,481.40,643.50,153.79,235.24,301.37,219.66,1534.19,468.14,307.44,1708.22,558.47,1060.25,682.04,1896.68,1625.93,1673.06
eqsparcl12bpwtrc12,UNSATISFIABLE,3559.00,FAILED,4398.40,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
ex175_20,SATISFIABLE,1753.76,FAILED,FAILED,1200.26,FAILED,646.36,1690.20,112.99,708.06,FAILED,672.52,372.90,255.44,FAILED,1180.31,1724.58,596.10,1658.44,285.26,1434.69,533.43,574.96,FAILED,FAILED,1063.64,1339.89,4808.76,1763.05,FAILED,FAILED,FAILED,FAILED
frb75-13-2.used-as.sat04-878,SATISFIABLE,FAILED,FAILED,FAILED,19.29,FAILED,FAILED,4145.34,4252.74,FAILED,FAILED,299.21,53.60,424.04,FAILED,FAILED,FAILED,FAILED,FAILED,3597.28,2946.34,2304.66,FAILED,FAILED,3574.46,FAILED,FAILED,4393.65,FAILED,FAILED,FAILED,FAILED,FAILED
g2-mizh-md5-48-2,SATISFIABLE,1107.38,FAILED,FAILED,201.06,2173.78,54.62,252.64,388.10,878.54,FAILED,457.28,242.21,1215.92,FAILED,253.59,143.43,156.62,124.26,1209.92,2224.77,172.69,438.77,4393.85,189.24,283.71,589.62,287.77,402.98,1945.71,172.06,FAILED,FAILED
gaussian.c.75.smt2-cvc4,SATISFIABLE,3988.65,FAILED,FAILED,613.00,4524.21,FAILED,3802.87,4526.10,4181.38,FAILED,327.35,403.28,579.42,2020.55,1448.00,FAILED,1840.59,2877.69,2797.25,602.94,2767.79,1280.04,FAILED,FAILED,4451.70,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
grid-color-12-14-10-cb,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,28.63,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
grid-color-12-14-12-cb,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4593.17,2229.36,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,591.18,FAILED,FAILED,FAILED,FAILED,FAILED
grid-color-12-14-14-cb,SATISFIABLE,4247.32,FAILED,FAILED,2429.10,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4065.48,1216.44,450.81,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3499.46,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
grid-color-12-14-2-cb,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,206.66,280.38,318.84,FAILED,FAILED,FAILED,FAILED,468.75,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3749.85,FAILED,4584.11,FAILED,FAILED,FAILED,FAILED,FAILED
grid-color-12-14-4-cb,SATISFIABLE,FAILED,FAILED,FAILED,2166.84,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,258.26,224.86,150.32,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2358.35,FAILED,FAILED,FAILED,FAILED,FAILED
