cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,cadical-2019,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,glucose-2016,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2010,lingeling-2011,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2005,minisat-2006,minisat-2008,picosat-2007,precosat-2009,rsat-2007,satelite-gti-2005,siege-2003,zchaff-2004,zchaff-2007
linked_list_swap_contents_safety_unwind40,UNSATISFIABLE,50.51,FAILED,FAILED,22.37,1272.95,39.92,70.26,39.28,49.36,FAILED,84.81,86.90,343.56,46.04,128.48,4400.67,151.03,57.86,151.58,474.66,505.91,512.94,55.03,59.89,130.54,182.94,535.83,198.12,517.20,FAILED,FAILED,FAILED
linked_list_swap_contents_safety_unwind41,UNSATISFIABLE,80.98,FAILED,FAILED,110.80,4159.10,79.47,44.96,34.70,58.49,FAILED,96.73,99.20,89.98,55.43,82.88,4864.40,114.50,67.41,199.87,541.87,687.22,578.89,84.13,65.72,139.82,220.35,336.09,117.21,1273.51,FAILED,FAILED,FAILED
linked_list_swap_contents_safety_unwind43,UNSATISFIABLE,73.53,FAILED,FAILED,164.93,FAILED,79.85,83.51,57.92,81.48,FAILED,157.94,260.58,131.00,111.45,135.72,FAILED,159.08,65.48,195.97,508.68,582.44,676.96,60.52,62.84,144.58,248.92,348.75,81.76,1453.05,FAILED,FAILED,FAILED
linked_list_swap_contents_safety_unwind44,UNSATISFIABLE,59.16,FAILED,FAILED,43.27,FAILED,86.48,35.92,118.09,63.94,FAILED,192.94,174.36,426.52,75.26,81.17,FAILED,97.36,87.85,226.06,682.37,801.80,799.67,85.58,53.78,165.05,315.53,275.92,101.26,1527.77,FAILED,FAILED,FAILED
linked_list_swap_contents_safety_unwind48,UNSATISFIABLE,78.75,FAILED,FAILED,312.30,FAILED,FAILED,118.08,105.53,79.63,FAILED,275.15,305.93,716.59,182.51,86.36,FAILED,145.71,114.96,252.95,810.44,819.08,843.37,101.52,56.92,208.42,266.46,469.99,159.14,2286.61,FAILED,FAILED,FAILED
linked_list_swap_contents_safety_unwind55,UNSATISFIABLE,184.87,FAILED,FAILED,43.49,FAILED,199.79,176.57,67.85,135.69,FAILED,351.70,356.54,336.82,155.23,167.83,FAILED,228.22,175.37,334.53,907.27,965.19,822.35,113.03,166.90,311.16,342.50,645.62,345.63,2968.54,FAILED,FAILED,FAILED
linked_list_swap_contents_safety_unwind56,UNSATISFIABLE,166.63,FAILED,FAILED,324.41,FAILED,FAILED,134.65,180.77,190.96,FAILED,608.62,89.78,89.13,641.34,172.83,FAILED,264.58,103.82,334.92,900.18,1063.72,1022.28,268.87,95.81,322.13,314.30,610.47,280.83,3200.80,FAILED,FAILED,FAILED
linked_list_swap_contents_safety_unwind59,UNSATISFIABLE,143.13,FAILED,FAILED,136.26,FAILED,134.19,185.35,177.20,231.65,FAILED,296.84,786.19,273.62,248.14,153.41,FAILED,332.93,172.28,478.94,1174.20,1181.19,1295.90,250.99,226.72,329.10,421.02,730.23,316.06,4068.52,FAILED,FAILED,FAILED
linked_list_swap_contents_safety_unwind66,UNSATISFIABLE,370.36,FAILED,FAILED,95.64,FAILED,127.71,105.05,116.14,278.83,FAILED,293.89,808.37,289.91,4845.11,209.01,FAILED,527.55,213.67,555.49,1577.98,1438.76,1757.51,176.43,176.33,478.07,FAILED,724.53,290.83,FAILED,FAILED,FAILED,FAILED
linked_list_swap_contents_safety_unwind67,UNSATISFIABLE,328.49,FAILED,FAILED,67.61,FAILED,FAILED,152.44,242.04,314.63,FAILED,830.47,778.51,210.55,966.35,331.42,FAILED,308.33,376.50,575.48,1777.83,1441.42,1754.30,297.78,129.24,449.74,FAILED,811.76,378.58,4858.07,FAILED,FAILED,FAILED
linked_list_swap_contents_safety_unwind71,UNSATISFIABLE,212.85,FAILED,FAILED,359.61,FAILED,FAILED,271.39,159.76,294.27,FAILED,115.00,283.82,1035.99,826.07,420.88,FAILED,1211.16,235.38,712.18,1660.33,1776.59,1988.91,189.18,341.10,542.00,FAILED,778.99,FAILED,FAILED,FAILED,FAILED,FAILED
linked_list_swap_contents_safety_unwind74,UNSATISFIABLE,342.47,FAILED,FAILED,84.22,FAILED,FAILED,620.15,384.20,374.47,FAILED,1817.59,1534.78,1350.07,FAILED,358.15,FAILED,2915.85,179.45,732.47,2340.64,1545.42,2187.41,584.77,181.90,609.38,FAILED,941.93,FAILED,FAILED,FAILED,FAILED,FAILED
manol-pipe-f7nidw,UNSATISFIABLE,58.68,490.65,FAILED,34.99,FAILED,84.11,48.79,30.98,23.55,FAILED,45.56,43.11,43.31,FAILED,47.77,45.21,70.99,74.89,80.50,74.63,152.60,150.46,545.62,1373.72,2707.82,256.08,36.67,4732.47,4134.08,141.67,1736.60,1742.52
manthey_single-ordered-initialized-w42-b8,UNSATISFIABLE,212.00,585.18,FAILED,263.10,4381.53,221.14,142.12,194.04,170.74,FAILED,283.23,308.17,322.53,FAILED,310.53,446.73,397.93,652.79,166.84,248.08,204.02,200.57,745.72,681.71,209.57,1966.65,411.10,764.74,469.76,3879.20,4073.53,4132.97
manthey_single-ordered-initialized-w50-b7,UNSATISFIABLE,1781.08,3217.36,FAILED,2387.24,FAILED,2515.58,1060.60,1256.36,1246.42,FAILED,1627.86,1722.40,1994.51,FAILED,2024.56,4804.06,2088.49,3097.22,674.82,909.53,742.66,750.13,FAILED,FAILED,1685.63,FAILED,1949.10,FAILED,FAILED,FAILED,FAILED,FAILED
md4__zeroOut_19__freeIn_23__seed_2,SATISFIABLE,2855.78,FAILED,FAILED,1915.98,246.99,334.15,FAILED,1049.76,1190.89,FAILED,3144.47,1017.53,2640.52,FAILED,FAILED,FAILED,FAILED,FAILED,513.83,1372.27,1501.34,FAILED,FAILED,FAILED,740.83,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
mdp-28-10-sat,SATISFIABLE,1.72,FAILED,FAILED,1137.41,138.00,356.33,647.14,811.09,59.23,FAILED,455.44,1844.59,2512.25,FAILED,FAILED,166.87,854.11,4667.47,148.19,619.95,664.62,674.83,617.83,366.51,503.16,45.38,841.33,3498.68,337.28,FAILED,732.64,678.79
mdp-28-11-unsat,UNSATISFIABLE,1289.62,FAILED,FAILED,4812.07,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3680.62,4771.59,FAILED,FAILED,FAILED,FAILED,3176.49,FAILED,4710.68,FAILED,FAILED,4634.23,3744.08,3510.88,FAILED,FAILED,FAILED,FAILED,3321.70,FAILED,FAILED,FAILED
mdp-28-12-sat,SATISFIABLE,0.59,449.83,FAILED,61.27,FAILED,FAILED,518.83,500.41,690.86,FAILED,2252.58,2025.47,4394.09,FAILED,FAILED,238.57,207.72,1906.07,171.33,1295.54,2726.50,3408.78,49.55,91.21,310.14,1688.02,FAILED,1611.92,476.39,FAILED,FAILED,FAILED
mdp-28-12-unsat,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3999.47,4389.30,4787.34,FAILED,FAILED,FAILED,3053.70,FAILED,2834.46,3109.62,2759.09,2921.20,3043.59,3340.22,FAILED,FAILED,FAILED,FAILED,4182.50,FAILED,FAILED,FAILED
mdp-28-16-sat,SATISFIABLE,157.73,4871.15,FAILED,1707.08,FAILED,283.91,292.28,1807.81,372.42,FAILED,3895.97,460.38,1862.94,FAILED,25.50,576.31,1839.38,1616.17,1656.82,594.78,497.55,521.71,1114.53,2476.62,3481.51,FAILED,163.28,FAILED,3435.26,FAILED,353.00,340.52
mdp-32-12-sat,SATISFIABLE,10.76,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1268.42,1589.56,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
mdp-32-16-unsat,UNSATISFIABLE,9.71,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
mdp-36-11-sat,SATISFIABLE,152.81,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
mdp-36-11-unsat,UNSATISFIABLE,66.04,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
mdp-36-12-sat,SATISFIABLE,6.21,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
mdp-36-14-unsat,UNSATISFIABLE,41.86,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
mdp-36-16-sat,SATISFIABLE,105.57,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
mdp-36-16-unsat,UNSATISFIABLE,57.87,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
mod2c-rand3bip-sat-240-2.shuffled-as.sat05-2519,SATISFIABLE,75.02,3770.66,FAILED,252.16,FAILED,FAILED,2772.27,FAILED,784.51,FAILED,391.25,522.46,290.93,FAILED,328.08,1641.10,710.02,2947.40,151.22,299.99,568.26,592.24,1708.99,1239.59,1054.20,FAILED,FAILED,FAILED,1751.38,4106.63,FAILED,FAILED
mp1-21.7,SATISFIABLE,315.82,FAILED,FAILED,567.84,FAILED,FAILED,4322.39,3475.13,159.14,FAILED,23.66,118.08,116.32,FAILED,53.37,58.53,129.03,26.69,31.58,362.02,39.97,43.68,26.83,10.26,254.10,315.18,343.54,396.66,542.25,410.93,FAILED,FAILED
mp1-9_27,SATISFIABLE,136.51,961.78,FAILED,429.93,FAILED,544.24,612.07,1516.02,539.02,FAILED,271.93,221.49,114.10,1659.58,544.62,264.16,111.76,117.46,144.24,43.25,132.62,198.07,55.27,2894.33,1776.11,121.82,493.81,FAILED,32.26,FAILED,2549.15,2556.56
mp1-blockpuzzle_5x12_s6_free3,UNSATISFIABLE,1194.21,FAILED,FAILED,1430.27,FAILED,512.35,3028.13,2890.64,352.30,FAILED,562.63,565.23,585.26,FAILED,FAILED,2803.41,2332.36,1434.50,339.56,232.90,225.94,186.07,FAILED,FAILED,2229.27,FAILED,3860.72,FAILED,FAILED,FAILED,FAILED,FAILED
mp1-klieber2017s-0300-034-t12,SATISFIABLE,FAILED,FAILED,FAILED,202.95,FAILED,FAILED,FAILED,2407.46,736.75,FAILED,129.17,249.79,93.65,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3072.46,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
mp1-squ_ali_s10x10_c39_abio_SAT,SATISFIABLE,245.72,FAILED,FAILED,82.48,FAILED,282.98,43.97,693.36,50.91,FAILED,271.96,14.55,61.87,FAILED,1862.98,3427.89,96.11,3087.09,104.14,229.16,1240.19,1239.05,FAILED,105.10,667.28,359.38,1561.82,3056.99,1226.35,2647.68,FAILED,FAILED
mp1-squ_ali_s10x10_c39_abix_SAT,SATISFIABLE,106.98,FAILED,FAILED,393.72,FAILED,264.51,752.16,70.62,145.30,FAILED,518.28,399.86,48.03,FAILED,FAILED,FAILED,212.11,249.57,1830.88,184.58,46.90,2518.37,782.22,1835.27,1328.51,128.75,1753.64,FAILED,759.19,FAILED,754.69,791.56
mp1-squ_ali_s10x10_c39_bail_SAT,SATISFIABLE,10.59,631.23,FAILED,28.15,FAILED,61.28,1065.02,4405.80,1344.73,FAILED,32.02,154.43,63.15,FAILED,624.38,2825.97,694.59,FAILED,8.52,33.02,247.70,257.75,FAILED,185.80,201.84,26.52,122.80,FAILED,1638.79,FAILED,FAILED,FAILED
ncc_none_3001_7_3_3_1_31_435991723,SATISFIABLE,2070.58,FAILED,FAILED,1497.95,FAILED,3075.06,2012.22,1950.54,2202.54,FAILED,226.81,248.49,298.92,FAILED,99.77,2675.52,FAILED,FAILED,1469.45,937.31,1918.23,1033.57,1537.79,1432.00,1474.23,2797.29,FAILED,4388.23,4315.40,FAILED,FAILED,FAILED
ncc_none_7047_6_3_3_0_0_420,UNSATISFIABLE,FAILED,FAILED,FAILED,1878.02,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,352.65,402.27,443.65,FAILED,2861.82,2617.04,4128.18,4149.50,2969.45,1599.18,3110.20,1961.98,2229.43,2085.99,4775.35,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
ortholatin-7,SATISFIABLE,35.68,236.08,FAILED,31.04,56.17,26.71,4.12,33.51,18.35,FAILED,43.47,27.95,27.82,81.28,67.21,55.05,167.70,34.93,1874.32,32.49,23.81,31.28,603.55,142.32,137.29,131.55,2.90,1419.38,3465.86,117.55,1136.53,1135.56
ota-for-aws-iot-embedded-sdk:parseJSONbyModel,UNSATISFIABLE,620.82,FAILED,FAILED,800.65,FAILED,799.96,949.70,905.54,1204.37,FAILED,635.70,696.56,743.57,FAILED,710.57,601.34,1746.07,2010.37,458.54,939.73,1060.02,744.76,375.11,440.89,253.85,FAILED,3807.53,FAILED,1227.88,FAILED,FAILED,FAILED
pj2002_k9,UNSATISFIABLE,4892.07,FAILED,FAILED,1032.45,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1431.92,1504.72,1593.72,FAILED,FAILED,4255.04,2593.27,2732.69,3669.33,1269.27,3034.50,2919.99,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pj2003_k9,UNSATISFIABLE,FAILED,FAILED,FAILED,1073.77,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1465.40,1482.97,1573.53,FAILED,FAILED,4256.90,2582.12,2895.30,3593.54,1740.64,2762.98,2832.73,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pj2005_k80,SATISFIABLE,FAILED,FAILED,FAILED,990.07,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2021.27,2045.70,2170.66,FAILED,FAILED,3514.99,FAILED,FAILED,FAILED,2945.00,3434.52,2977.60,FAILED,FAILED,4224.18,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pj2008_k300,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pj2008_k400,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pj2015_k9,UNSATISFIABLE,FAILED,FAILED,FAILED,1202.27,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1601.97,1750.11,1787.21,FAILED,FAILED,FAILED,3201.35,3546.48,3863.52,1608.28,3026.04,3016.56,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pj2016_k120,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pj2016_k140,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pj2016_k80,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2021.49,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pj2018_k10,SATISFIABLE,2148.75,FAILED,FAILED,806.17,FAILED,472.87,2422.67,1712.43,1977.08,FAILED,592.15,1187.82,1204.85,FAILED,4899.57,2879.67,1905.72,303.89,3070.64,1213.46,2750.87,2729.24,FAILED,2482.00,2851.38,FAILED,3864.06,2516.36,3657.28,FAILED,FAILED,FAILED
ps_200_300_70,UNSATISFIABLE,313.84,FAILED,FAILED,305.07,FAILED,FAILED,FAILED,208.73,FAILED,FAILED,32.54,28.37,36.03,FAILED,FAILED,683.43,2577.09,FAILED,37.56,973.13,193.65,396.25,FAILED,FAILED,358.63,92.05,14.11,FAILED,FAILED,FAILED,FAILED,FAILED
ps_200_323_70,UNSATISFIABLE,285.39,FAILED,FAILED,324.41,FAILED,FAILED,FAILED,FAILED,62.54,FAILED,50.18,1370.60,223.05,FAILED,50.91,257.43,56.67,54.26,145.58,456.11,59.43,153.24,FAILED,FAILED,FAILED,116.95,14.79,FAILED,FAILED,FAILED,FAILED,FAILED
puzzle30_sat,SATISFIABLE,FAILED,FAILED,FAILED,792.29,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,680.63,893.08,1110.18,FAILED,FAILED,152.89,274.93,1106.68,FAILED,FAILED,FAILED,1231.80,2274.74,FAILED,FAILED,1332.52,FAILED,FAILED,FAILED,FAILED,3768.34,3670.49
q_query_3_L200_coli.sat,UNSATISFIABLE,84.62,FAILED,FAILED,173.11,FAILED,663.61,124.19,121.58,133.21,FAILED,249.42,285.96,440.97,FAILED,348.61,356.14,1803.98,794.05,240.25,415.72,260.03,404.32,1277.84,574.11,531.89,422.02,505.79,491.59,951.85,FAILED,FAILED,FAILED
reconf10_140_queen6_1,SATISFIABLE,1299.06,FAILED,FAILED,2226.01,FAILED,597.18,60.06,2083.76,1471.37,FAILED,1287.22,1553.47,210.76,FAILED,109.98,1514.61,149.58,742.82,661.49,486.05,527.59,239.75,FAILED,FAILED,496.60,204.22,605.80,FAILED,FAILED,FAILED,FAILED,FAILED
reconf10_145_queen6_2,SATISFIABLE,441.45,FAILED,FAILED,1651.70,FAILED,1070.41,1247.48,1012.55,964.28,FAILED,1403.98,2020.81,353.81,FAILED,1334.49,612.21,2089.56,1706.90,4015.74,897.26,2120.96,1045.72,FAILED,FAILED,3280.95,2891.14,53.20,FAILED,FAILED,FAILED,FAILED,FAILED
reconf10_42_queen20_4_0961,SATISFIABLE,FAILED,FAILED,FAILED,863.19,FAILED,1522.44,FAILED,FAILED,FAILED,FAILED,769.90,2288.39,2421.63,FAILED,1621.84,1722.68,1182.60,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,639.81,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
reconf10_68_queen15_2,SATISFIABLE,2349.35,FAILED,FAILED,1592.18,FAILED,3560.46,758.05,2545.83,2825.14,FAILED,789.71,3030.37,339.32,FAILED,1049.14,465.05,618.41,2825.12,1513.47,2255.16,4688.22,186.11,FAILED,FAILED,4277.02,1552.49,546.89,1299.44,FAILED,FAILED,FAILED,FAILED
reconf10_86_sp003_1,SATISFIABLE,1581.22,FAILED,FAILED,3106.54,FAILED,FAILED,1185.28,1217.12,1603.72,FAILED,1216.68,1265.53,1156.83,FAILED,FAILED,3176.33,FAILED,FAILED,FAILED,2330.75,4342.92,3894.01,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
reconf10_99_Ins_3_1,SATISFIABLE,FAILED,FAILED,FAILED,1068.21,FAILED,1578.67,FAILED,FAILED,1702.63,FAILED,309.41,656.82,1222.73,FAILED,4756.48,FAILED,3365.39,FAILED,2134.60,745.63,FAILED,FAILED,FAILED,FAILED,FAILED,1508.71,1693.86,FAILED,3014.49,FAILED,FAILED,FAILED
reconf20_116_le450_25c_1,UNSATISFIABLE,80.78,1246.20,FAILED,582.70,FAILED,152.72,76.68,81.04,121.23,FAILED,144.17,173.91,189.63,253.92,642.51,1291.03,694.89,900.89,243.21,1075.71,1134.15,1012.81,88.06,111.60,119.31,396.12,455.33,341.04,1138.65,FAILED,FAILED,FAILED
reconf20_20_grid10_1_6141,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
reconf20_20_grid10_4_4957,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1395.73,3013.68,3046.43,FAILED,FAILED,4103.05,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
reconf20_26_3-FullIns_4_1,UNSATISFIABLE,270.24,FAILED,FAILED,456.89,FAILED,2138.72,1628.83,1612.14,1419.02,FAILED,475.39,254.33,374.35,FAILED,2282.53,529.59,846.32,1595.08,2322.94,1076.18,1671.10,1868.08,1408.44,1616.55,1467.32,FAILED,1782.02,2957.15,1272.04,FAILED,FAILED,FAILED
reconf20_320_hc-square-2_1,UNSATISFIABLE,104.23,FAILED,FAILED,1594.17,FAILED,770.42,129.38,208.92,328.90,FAILED,277.10,294.78,283.38,FAILED,425.80,453.29,701.13,988.84,243.87,735.97,430.87,735.89,FAILED,FAILED,171.39,1003.53,435.93,620.04,FAILED,FAILED,FAILED,FAILED
reconf20_50_grid10_3_6844,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,765.13,743.39,FAILED,197.41,709.69,1657.79,FAILED,3629.46,702.86,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,591.26,FAILED,FAILED,FAILED,FAILED,FAILED
reconf20_61_myciel4_2,UNSATISFIABLE,47.27,78.25,FAILED,22.22,664.30,46.34,73.77,87.39,59.82,FAILED,14.98,14.47,13.04,2761.39,48.23,354.66,62.90,81.73,44.03,66.75,51.28,57.22,153.46,133.34,108.02,655.29,64.42,204.78,146.51,885.32,2938.38,2905.78
rphp_p105_r105,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
rphp_p14_r14,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
rphp_p6_r28,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
rphp_p90_r90,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
rphp_p95_r95,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
rubikcube701-sc2017,UNSATISFIABLE,1679.05,FAILED,FAILED,4567.44,FAILED,2879.12,434.10,648.45,730.06,FAILED,2642.41,4673.36,FAILED,FAILED,1675.07,2115.02,1135.83,1812.63,343.26,612.40,368.08,372.63,2554.91,1959.33,1325.42,FAILED,2158.00,FAILED,1688.07,FAILED,FAILED,FAILED
s2n:s2n_stuffer_private_key_from_pem,UNSATISFIABLE,636.09,FAILED,FAILED,134.59,FAILED,387.28,1275.70,1076.04,1261.08,FAILED,93.18,98.12,92.14,FAILED,752.68,423.91,406.12,1329.81,636.92,462.72,607.36,567.71,2455.43,2609.51,427.00,3718.82,546.80,FAILED,958.60,FAILED,FAILED,FAILED
s2n:s2n_stuffer_write_base64,UNSATISFIABLE,1858.58,FAILED,FAILED,1268.52,FAILED,FAILED,1587.82,2025.95,2189.09,FAILED,777.30,762.53,795.51,FAILED,1760.54,2609.42,4147.22,FAILED,530.26,787.46,871.88,808.70,FAILED,FAILED,296.41,FAILED,FAILED,FAILED,1273.12,FAILED,FAILED,FAILED
satch2ways12u,UNSATISFIABLE,143.56,FAILED,FAILED,65.85,FAILED,118.53,26.00,13.35,94.52,FAILED,36.14,18.90,58.45,FAILED,21.35,320.52,369.83,1297.72,55.08,122.49,135.44,223.75,1983.24,198.53,158.09,198.20,32.49,186.64,4156.08,339.38,FAILED,FAILED
satcoin-genesis-SAT-4,SATISFIABLE,FAILED,FAILED,1.68,1.76,1.85,2.40,FAILED,FAILED,FAILED,1098.66,29.40,27.65,24.80,1.44,13.25,2.69,666.90,7.67,FAILED,3.25,3.87,3.32,0.52,FAILED,FAILED,FAILED,0.98,FAILED,1.88,48.90,2.65,1.55
