cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,precosat-2009,rsat-2007,satelite-gti-2005,zchaff-2004
001-80-12-sc2014,SATISFIABLE,1045.90,FAILED,FAILED,FAILED,3024.70,1684.72,952.15,FAILED,2036.38,3012.27,3018.59,589.56,FAILED,FAILED,976.25,796.90,715.73,1282.75,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
002-80-8-sc2014,SATISFIABLE,548.51,FAILED,FAILED,FAILED,1656.44,679.44,878.80,FAILED,1492.05,1427.89,1415.27,FAILED,FAILED,FAILED,529.67,375.64,801.18,754.52,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
002-sc2013,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,198.97,207.42,FAILED,FAILED,FAILED,1222.57,FAILED,FAILED,1843.61,77.22,2842.91,FAILED,FAILED,1148.94,FAILED
003-sc2013,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1882.09,1891.10,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,138.57,FAILED,FAILED,FAILED,FAILED,1557.74,FAILED
004-22-160-sc2014,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1910.04,253.08,265.13,FAILED,FAILED,775.71,FAILED,FAILED,2147.08,FAILED,974.98,FAILED,FAILED,FAILED,FAILED,FAILED
004-80-8-sc2014,SATISFIABLE,384.52,FAILED,FAILED,FAILED,2210.91,882.12,288.68,FAILED,1680.15,695.36,703.21,FAILED,FAILED,FAILED,527.10,761.85,488.95,723.91,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
004-sc2013,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,669.51,317.37,328.95,FAILED,3173.37,2855.28,645.45,FAILED,559.45,715.42,FAILED,1841.11,FAILED,FAILED,2046.79,FAILED
006-23-96-sc2014,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
007-sc2013,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2354.89,FAILED,FAILED,FAILED,FAILED,FAILED,1121.54,2235.99,407.58,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
008-80-8-sc2014,SATISFIABLE,719.41,FAILED,FAILED,FAILED,2211.12,579.60,888.59,FAILED,1008.49,2295.51,2304.74,97.18,FAILED,2606.10,789.38,360.67,389.26,812.10,FAILED,2224.10,FAILED,FAILED,FAILED,FAILED
11pipe_11_ooo-sc2011,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3042.01,3551.81,3450.41,FAILED,FAILED,FAILED,FAILED,FAILED,4298.06,4733.82,FAILED,FAILED,3921.75,FAILED,FAILED,FAILED
