cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,precosat-2009,rsat-2007,satelite-gti-2005,zchaff-2004
79.smt2,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
9dlx_vliw_at_b_iq5,UNSATISFIABLE,687.06,1762.87,FAILED,FAILED,845.75,478.27,415.99,FAILED,238.64,272.91,275.08,FAILED,517.42,928.69,2761.65,722.68,2770.03,2719.14,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
9dlx_vliw_at_b_iq8.used-as.sat04-718,UNSATISFIABLE,2272.36,FAILED,FAILED,FAILED,2965.75,2224.42,1703.10,FAILED,1018.63,1156.93,1117.94,FAILED,3550.75,3338.11,3722.59,3475.36,3822.63,3640.77,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
ACG-15-10p1,SATISFIABLE,278.60,FAILED,FAILED,FAILED,1501.20,1298.59,1100.94,FAILED,562.73,583.84,544.43,FAILED,359.86,537.47,415.81,474.55,886.00,742.11,2671.85,1269.44,408.15,1913.92,FAILED,FAILED
Circuit_multiplier18,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Circuit_multiplier22,SATISFIABLE,260.01,FAILED,FAILED,409.89,4825.12,6.93,2847.21,FAILED,274.46,1223.76,39.06,268.59,4971.11,1534.58,526.81,218.06,118.85,334.79,4940.55,1211.51,1262.12,FAILED,FAILED,FAILED
Circuit_multiplier24,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,431.05,FAILED,FAILED,FAILED,179.95,1673.19,1114.24,FAILED,FAILED,FAILED,1073.13,2297.56,FAILED,2038.93,FAILED,FAILED,3503.67,FAILED,FAILED,FAILED
Circuit_multiplier25,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,3280.07,FAILED,FAILED,FAILED,FAILED,FAILED,761.56,FAILED,612.89,FAILED,FAILED,FAILED,732.90,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Circuit_multiplier26,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1410.08,FAILED,FAILED,FAILED,FAILED,724.39,710.14,FAILED,FAILED,FAILED,FAILED,FAILED,2036.53,FAILED,FAILED
Circuit_multiplier29,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,75.95,74.91,FAILED,FAILED,FAILED,2259.60,3649.69,FAILED,FAILED,FAILED,3604.53,FAILED,FAILED,FAILED,FAILED
Circuit_multiplier33,SATISFIABLE,247.03,FAILED,FAILED,FAILED,358.55,406.59,1006.42,FAILED,48.31,293.75,24.90,FAILED,249.09,58.08,394.42,210.81,721.06,106.42,3403.16,137.55,612.49,4911.58,2226.97,FAILED
Circuit_multiplier34,SATISFIABLE,3538.34,FAILED,FAILED,FAILED,2707.06,980.05,4410.09,FAILED,1973.07,2105.06,2047.24,FAILED,31.88,FAILED,1737.82,1625.42,1196.79,1201.51,1190.03,1265.48,4148.10,FAILED,FAILED,FAILED
Circuit_multiplier35,SATISFIABLE,294.44,1252.27,FAILED,673.34,FAILED,1866.60,219.95,FAILED,447.50,635.23,134.79,FAILED,2672.57,277.31,640.94,330.05,1466.40,1124.88,6.16,3955.86,3580.71,FAILED,374.66,3572.42
Circuit_multiplier36,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4132.77,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1035.08,228.92,FAILED,4728.29,FAILED,FAILED,FAILED,FAILED
Circuit_multiplier37,SATISFIABLE,313.45,FAILED,FAILED,1329.62,136.89,FAILED,116.52,FAILED,15.21,58.30,57.75,4115.09,3169.52,378.15,104.50,383.89,37.32,203.66,193.57,244.33,1565.78,FAILED,51.64,2659.37
Circuit_multiplier45,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1518.43,4602.77,270.22,FAILED,FAILED,FAILED,FAILED,1942.62,FAILED,1536.26,3844.16,3928.50,FAILED,FAILED,FAILED,FAILED
Circuit_multiplier53,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4673.45,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4177.41,FAILED,FAILED,FAILED
E00X23,UNSATISFIABLE,4756.10,FAILED,FAILED,FAILED,FAILED,4185.50,3303.93,FAILED,3047.15,3884.49,4268.51,FAILED,FAILED,FAILED,FAILED,2420.15,2451.51,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
E02F17,UNSATISFIABLE,22.91,18.76,FAILED,362.81,42.56,25.16,18.92,FAILED,25.29,22.90,22.13,2653.86,47.55,49.20,40.62,46.19,40.09,53.45,76.93,76.49,49.27,157.09,82.52,21.73
ER_500_40_2.apx_0,UNSATISFIABLE,197.32,50.38,694.00,FAILED,597.04,230.77,379.79,FAILED,339.18,398.56,347.68,2695.11,FAILED,196.97,118.27,168.08,178.51,185.25,594.00,845.20,1046.33,1798.80,683.36,FAILED
HCP-424-60,SATISFIABLE,2213.65,FAILED,FAILED,FAILED,FAILED,FAILED,3188.25,FAILED,1136.92,854.71,854.24,FAILED,FAILED,FAILED,2990.19,1733.40,2108.97,2150.48,FAILED,FAILED,4436.54,FAILED,FAILED,FAILED
HCP-446-105,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1405.97,2432.33,2705.13,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
HCP-446-420,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1595.42,1815.42,1700.36,FAILED,FAILED,FAILED,FAILED,4330.35,4972.92,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
HCP-446-60,SATISFIABLE,2137.10,FAILED,FAILED,FAILED,FAILED,3684.12,2396.92,FAILED,1067.78,822.87,808.66,FAILED,FAILED,FAILED,3912.95,2168.25,2215.42,2089.99,FAILED,FAILED,3456.31,FAILED,FAILED,FAILED
HCP-470-105,SATISFIABLE,3771.89,FAILED,FAILED,FAILED,FAILED,FAILED,4938.32,FAILED,773.34,3147.14,1394.83,FAILED,FAILED,FAILED,FAILED,3270.63,4627.44,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
HCP-470-420,SATISFIABLE,4149.00,FAILED,FAILED,FAILED,FAILED,FAILED,4488.98,FAILED,1195.25,2959.77,1365.98,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4909.89,FAILED,FAILED,FAILED
HCP-470-60,SATISFIABLE,3533.66,FAILED,FAILED,FAILED,FAILED,4103.27,4031.12,FAILED,1202.87,2014.99,1910.84,FAILED,FAILED,4931.78,FAILED,FAILED,4517.55,4966.31,FAILED,FAILED,3945.54,FAILED,FAILED,FAILED
HCP-506-60,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,327.43,104.20,FAILED,134.92,88.37,73.97,FAILED,FAILED,426.97,156.68,1319.40,452.37,88.14,FAILED,FAILED,378.39,1379.46,FAILED,FAILED
HCP-522-105,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,188.88,172.23,262.23,FAILED,4063.03,517.76,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,933.68,FAILED,FAILED,FAILED
HCP-526-105,SATISFIABLE,187.77,FAILED,FAILED,FAILED,FAILED,304.43,192.38,FAILED,192.23,179.77,136.08,FAILED,1598.16,3694.05,FAILED,FAILED,FAILED,430.52,FAILED,FAILED,598.74,FAILED,FAILED,FAILED
HCP-526-420,SATISFIABLE,239.82,FAILED,FAILED,FAILED,FAILED,FAILED,153.13,FAILED,224.11,131.91,178.34,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2157.42,1729.96,FAILED,FAILED,FAILED
HCP-529-420,SATISFIABLE,96.88,FAILED,FAILED,FAILED,FAILED,FAILED,160.00,FAILED,236.12,242.61,86.06,FAILED,FAILED,3060.65,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1220.89,FAILED,FAILED,FAILED
HCP-529-60,SATISFIABLE,145.09,FAILED,FAILED,FAILED,FAILED,463.79,118.36,FAILED,113.40,181.33,108.24,FAILED,FAILED,95.08,1860.70,2563.16,1641.61,238.23,FAILED,FAILED,941.96,FAILED,FAILED,FAILED
IBM_FV_2004_rule_batch_30_SAT_dat.k75,SATISFIABLE,1288.55,FAILED,FAILED,FAILED,4121.73,244.48,1343.29,FAILED,794.93,154.48,146.78,FAILED,711.30,1037.46,52.35,88.66,635.14,627.67,259.04,145.17,751.00,533.91,3835.72,FAILED
Kakuro-easy-045-ext.xml.hg_4,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Kakuro-easy-051-ext.xml.hg_4,UNSATISFIABLE,3321.28,FAILED,FAILED,FAILED,3546.07,2314.77,1655.90,FAILED,1623.48,1551.16,1694.40,FAILED,FAILED,FAILED,936.31,1175.41,855.00,807.89,FAILED,4006.98,4553.69,FAILED,FAILED,FAILED
Kakuro-easy-089-ext.xml.hg_4,SATISFIABLE,161.02,FAILED,FAILED,4654.08,1202.42,155.64,264.64,FAILED,190.36,95.40,98.03,FAILED,382.31,674.07,275.24,198.51,247.27,213.81,4399.63,225.56,496.94,248.54,1603.62,FAILED
Kakuro-easy-104-ext.xml.hg_6,SATISFIABLE,447.23,FAILED,FAILED,FAILED,194.91,264.43,101.02,FAILED,217.97,116.52,133.16,FAILED,314.86,278.67,134.35,397.46,287.52,162.48,2048.91,169.45,728.50,218.56,1590.59,FAILED
Kakuro-easy-112-ext.xml.hg_7,SATISFIABLE,1474.73,FAILED,FAILED,3490.44,1881.03,199.80,374.57,FAILED,200.53,249.68,257.17,FAILED,619.32,1040.57,257.32,480.09,408.42,291.09,3924.65,202.21,483.71,158.32,1550.88,FAILED
Kakuro-easy-115-ext.xml.hg_5,SATISFIABLE,1693.16,FAILED,FAILED,FAILED,FAILED,236.12,1182.08,FAILED,232.87,261.90,250.49,FAILED,2054.53,2336.46,401.57,372.70,417.48,284.56,1554.32,681.13,1220.57,478.12,FAILED,FAILED
Kakuro-easy-118-ext.xml.hg_4,SATISFIABLE,2624.92,FAILED,FAILED,4618.98,442.30,437.70,383.82,FAILED,162.92,365.19,372.47,FAILED,1377.49,2408.88,313.06,183.72,394.46,245.82,FAILED,1222.17,4776.10,345.76,2408.15,FAILED
Kakuro-easy-127-ext.xml.hg_7,SATISFIABLE,488.08,FAILED,FAILED,FAILED,FAILED,1539.41,1438.05,FAILED,578.32,335.41,325.22,FAILED,1127.05,1750.00,413.65,796.94,504.29,440.73,FAILED,487.86,FAILED,516.19,FAILED,FAILED
Kakuro-easy-132-ext.xml.hg_8,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,1287.24,FAILED,FAILED,837.23,528.14,561.28,FAILED,FAILED,FAILED,FAILED,FAILED,2037.72,1377.68,FAILED,1570.93,FAILED,528.07,FAILED,FAILED
Kakuro-easy-142-ext.xml.hg_8,SATISFIABLE,2681.09,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1474.66,114.89,107.11,FAILED,FAILED,FAILED,500.87,1992.79,1000.48,1731.12,FAILED,1305.96,FAILED,FAILED,FAILED,FAILED
Kakuro-easy-150-ext.xml.hg_9,SATISFIABLE,418.96,FAILED,FAILED,FAILED,613.86,568.22,290.93,FAILED,202.81,140.00,146.07,FAILED,1245.81,1366.83,298.17,1294.98,394.06,396.77,FAILED,511.11,4555.37,1246.43,1322.93,FAILED
Kakuro-easy-156-ext.xml.hg_7,SATISFIABLE,1364.58,FAILED,FAILED,FAILED,163.76,786.16,457.89,FAILED,153.37,173.82,168.28,FAILED,1743.22,1900.07,251.91,493.11,428.79,377.70,FAILED,788.00,4698.24,414.16,2766.67,FAILED
LABS_n041_goal003,SATISFIABLE,1035.70,FAILED,FAILED,FAILED,FAILED,231.69,993.32,FAILED,360.71,97.06,95.95,FAILED,655.70,2554.66,2865.02,330.98,1118.25,287.78,FAILED,581.03,FAILED,FAILED,350.68,FAILED
LABS_n068_goal001,UNSATISFIABLE,2850.52,FAILED,FAILED,FAILED,2254.73,1566.72,1657.39,FAILED,1585.03,2250.53,2159.86,FAILED,4550.96,FAILED,2068.95,2645.56,2054.49,2259.52,2721.93,1906.01,FAILED,2502.31,2469.89,FAILED
LABS_n069_goal001,UNSATISFIABLE,2986.25,FAILED,FAILED,FAILED,3087.44,1935.85,2351.02,FAILED,1890.28,2859.75,2741.53,FAILED,4488.57,FAILED,2537.13,3189.89,2507.86,2736.63,3425.67,2093.71,FAILED,3862.08,2891.15,FAILED
LABS_n072_goal006,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,1343.83,175.15,2157.26,FAILED,755.51,931.25,875.94,FAILED,FAILED,3368.66,FAILED,FAILED,FAILED,3711.19,631.60,2557.37,261.04,4366.57,4232.78,FAILED
LABS_n089_goal008,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,115.72,641.03,658.39,3641.69,FAILED,3635.38,2203.54,FAILED,FAILED,FAILED,FAILED,FAILED,587.31,FAILED,FAILED,FAILED
MVD_ADS_S10_5_6,UNSATISFIABLE,443.02,FAILED,10.27,1.91,384.26,2.00,2.00,287.97,0.62,0.83,0.65,1.32,218.15,211.02,350.57,382.94,410.04,377.07,658.65,398.73,340.59,12.29,39.50,1.60
MVD_ADS_S10_6_6,UNSATISFIABLE,362.22,FAILED,14.59,1.62,333.78,9.11,10.45,465.10,1.10,1.23,1.11,2.33,218.46,345.38,359.63,418.52,460.78,433.56,674.81,384.46,343.36,32.63,49.19,4.21
MVD_ADS_S11_6_7,SATISFIABLE,795.52,FAILED,17.52,1.16,737.56,2.48,2.62,6.86,0.55,0.65,0.72,0.57,749.20,739.98,722.61,841.31,884.49,785.56,1544.79,814.30,650.04,3.13,2.73,2.02
MVD_ADS_S11_7_7,SATISFIABLE,829.81,FAILED,2.60,1.30,608.22,6.58,6.06,7.49,0.42,0.46,0.46,0.79,745.58,745.54,749.88,810.72,890.33,817.20,1569.75,850.87,648.67,8.13,7.23,0.89
MVD_ADS_S11_8_7,SATISFIABLE,827.99,FAILED,0.73,1.02,625.23,12.28,12.17,4.84,0.40,0.58,0.49,0.79,746.60,757.59,820.78,814.44,914.55,861.67,1484.30,833.34,637.44,16.76,15.99,1.04
MVD_ADS_S1_5_5,UNSATISFIABLE,620.72,FAILED,45.53,1.67,1011.87,599.24,591.23,156.46,0.54,0.56,0.60,1.21,181.78,183.87,1050.48,1105.06,1109.84,1131.17,1772.58,1096.48,314.00,698.91,739.18,7.66
MVD_ADS_S3_5_5,UNSATISFIABLE,488.56,FAILED,26.30,1.63,854.38,91.40,92.13,219.99,0.75,0.56,0.58,1.70,314.38,312.65,1105.13,1303.21,1376.61,1265.83,2169.00,1336.35,395.10,114.10,168.60,5.39
MVD_ADS_S4_5_5,UNSATISFIABLE,477.78,FAILED,8.07,1.55,735.05,210.64,206.48,188.25,0.50,0.49,0.48,1.18,260.29,257.26,900.06,1001.30,1040.10,1082.52,1708.85,1054.33,350.90,242.13,303.72,8.81
MVD_ADS_S5_6_6,UNSATISFIABLE,740.70,FAILED,95.88,1.61,824.17,89.09,91.73,562.71,1.24,1.38,1.31,5.42,457.03,454.00,697.73,750.97,777.92,800.50,1515.73,789.41,344.95,131.30,182.65,7.11
MVD_ADS_S6_6_5,UNSATISFIABLE,111.08,FAILED,9.14,1.24,100.53,41.44,38.61,123.98,0.50,0.33,0.36,0.90,24.53,24.77,81.21,84.21,89.53,83.57,199.63,116.49,78.88,55.00,57.12,1.61
MVD_ADS_S6_6_6,UNSATISFIABLE,302.02,FAILED,60.13,2.79,1075.69,40.85,42.69,985.42,1.76,1.55,1.52,4.18,650.71,891.40,833.87,885.71,1066.40,935.93,1890.03,968.33,772.27,90.84,140.16,8.38
MVD_ADS_S7_6_6,UNSATISFIABLE,616.05,FAILED,94.47,2.97,1168.98,69.25,76.41,679.95,1.36,1.45,1.45,5.24,656.77,653.18,1234.38,1390.14,1406.30,1395.94,2536.27,1387.53,712.15,138.70,182.69,10.44
MVD_ADS_S9_6_6,UNSATISFIABLE,391.10,FAILED,49.91,2.52,1025.36,187.06,194.22,692.84,1.48,1.61,1.74,5.51,458.55,654.00,700.85,761.71,777.13,798.91,2228.01,844.79,550.98,284.35,332.96,8.41
Mycielski-10-hints-10,UNSATISFIABLE,455.09,325.58,FAILED,1127.13,124.55,224.35,222.24,FAILED,109.53,142.05,154.33,2006.49,410.19,447.65,134.66,88.26,114.22,88.78,584.10,276.50,1515.08,508.80,815.95,FAILED
Mycielski-10-hints-5,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Mycielski-10-hints-6,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Mycielski-10-hints-7,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Mycielski-10-hints-8,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Mycielski-10-hints-9,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Mycielski-11-hints-1,UNSATISFIABLE,3911.06,FAILED,FAILED,FAILED,FAILED,4303.75,4996.19,FAILED,550.46,518.39,539.68,FAILED,FAILED,2660.79,1881.87,607.08,848.26,499.72,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Mycielski-11-hints-2,UNSATISFIABLE,4217.14,FAILED,FAILED,FAILED,FAILED,FAILED,3935.12,FAILED,456.90,604.37,594.90,FAILED,FAILED,2775.72,1972.21,491.01,480.10,669.21,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Mycielski-11-hints-3,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,3644.92,4491.22,FAILED,FAILED,521.02,432.13,479.99,FAILED,FAILED,2899.52,1593.04,412.28,457.55,376.22,FAILED,4999.19,FAILED,FAILED,FAILED,FAILED
Mycielski-11-hints-4,UNSATISFIABLE,FAILED,4512.38,FAILED,FAILED,4697.59,3975.42,4917.35,FAILED,466.59,467.80,463.51,FAILED,FAILED,2409.19,1617.96,552.62,455.80,552.58,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Nb51T6,UNSATISFIABLE,2404.12,2041.63,FAILED,FAILED,3753.45,4333.76,2616.15,FAILED,4012.44,FAILED,FAILED,FAILED,FAILED,FAILED,1976.15,3011.57,2401.63,1833.00,2631.42,4792.21,FAILED,FAILED,2417.67,FAILED
SC21_Timetable_C_121_E_34_Cl_8_S_4,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
SC21_Timetable_C_136_E_36_Cl_9_S_15,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
SC21_Timetable_C_136_E_41_Cl_9_S_15,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
SC21_Timetable_C_140_E_29_Cl_10_S_15,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
