cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,precosat-2009,rsat-2007,satelite-gti-2005,zchaff-2004
10pipe_k,UNSATISFIABLE,2321.11,815.79,FAILED,FAILED,763.10,FAILED,808.33,FAILED,339.10,427.65,316.53,FAILED,659.54,852.09,2804.11,928.50,2764.28,2765.45,FAILED,FAILED,672.19,FAILED,FAILED,2521.67
13pipe_k,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,3471.09,FAILED,3237.13,FAILED,1163.00,1559.75,1501.63,FAILED,4148.24,2940.69,3742.87,FAILED,3974.94,4028.46,FAILED,FAILED,3765.61,FAILED,FAILED,FAILED
143.smt2,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
14pipe_q0_k,UNSATISFIABLE,2175.85,2465.94,FAILED,FAILED,1454.66,FAILED,FAILED,FAILED,959.07,1065.75,909.76,FAILED,2303.54,2145.50,3689.92,3765.23,3733.24,3597.37,FAILED,FAILED,2686.39,FAILED,FAILED,FAILED
20-100-frag12-0_sat,SATISFIABLE,927.21,FAILED,FAILED,FAILED,1717.92,549.88,642.94,FAILED,728.29,279.69,297.28,FAILED,2373.96,3467.96,401.38,842.01,516.40,826.22,FAILED,FAILED,2071.55,FAILED,FAILED,FAILED
20-100-frag12-14_sat,SATISFIABLE,196.64,FAILED,FAILED,FAILED,549.03,139.12,156.49,FAILED,363.55,268.90,275.70,FAILED,328.66,900.97,224.51,341.41,411.48,340.82,3278.02,376.87,607.68,2110.61,FAILED,FAILED
20-100-frag12-32_sat,SATISFIABLE,4179.20,FAILED,FAILED,FAILED,FAILED,3670.50,3487.99,FAILED,FAILED,3683.59,3460.60,FAILED,FAILED,FAILED,FAILED,4259.99,2342.68,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
20-100-frag12-53_sat,SATISFIABLE,435.10,FAILED,FAILED,FAILED,592.73,150.18,202.19,FAILED,314.80,220.90,228.20,FAILED,1328.44,1441.58,565.07,438.89,704.70,627.29,FAILED,3391.21,1773.93,FAILED,FAILED,FAILED
20-100-lambda100-14_sat,SATISFIABLE,180.17,FAILED,FAILED,FAILED,179.41,94.47,129.66,FAILED,146.77,152.95,155.13,FAILED,192.05,295.54,181.37,129.13,101.18,96.51,661.91,469.97,190.51,530.76,373.02,FAILED
20-100-lambda100-14_unsat,UNSATISFIABLE,116.20,FAILED,FAILED,FAILED,155.11,69.42,80.37,FAILED,101.44,82.90,84.32,FAILED,226.48,207.15,97.89,128.67,139.62,151.51,790.39,212.79,174.40,524.04,1964.55,FAILED
20-100-lambda100-47_unsat,UNSATISFIABLE,2101.15,FAILED,FAILED,FAILED,2019.60,1088.66,1036.72,FAILED,527.40,683.90,657.35,FAILED,3892.95,FAILED,1490.74,846.73,1142.52,1932.29,FAILED,FAILED,3796.01,FAILED,FAILED,FAILED
20-100-lambda100-49_sat,SATISFIABLE,1026.61,FAILED,FAILED,FAILED,347.31,304.78,734.96,FAILED,132.12,103.83,104.64,FAILED,1927.62,1906.13,288.51,403.10,206.14,205.77,1462.13,3963.58,1437.26,899.76,FAILED,FAILED
20-100-lambda100-65_sat,SATISFIABLE,886.87,FAILED,FAILED,FAILED,789.81,170.87,166.94,FAILED,105.66,36.99,36.91,FAILED,588.13,563.35,59.06,286.00,58.90,113.48,2065.92,699.88,565.69,226.40,794.63,FAILED
20-100-lambda100-89_sat,SATISFIABLE,1464.28,FAILED,FAILED,FAILED,3137.16,1061.29,1976.80,FAILED,478.59,458.03,455.70,FAILED,4885.82,FAILED,216.31,657.77,1119.67,518.90,FAILED,FAILED,989.04,4088.92,FAILED,FAILED
20-100-lambda100-89_unsat,UNSATISFIABLE,1192.88,FAILED,FAILED,FAILED,1114.29,774.31,794.56,FAILED,707.00,790.50,814.50,FAILED,2924.10,FAILED,1068.74,557.55,982.95,1128.56,FAILED,FAILED,791.17,FAILED,FAILED,FAILED
20-100-p100-55_sat,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1646.83,FAILED,2041.06,479.39,461.83,FAILED,FAILED,FAILED,FAILED,880.48,3649.94,1522.68,FAILED,FAILED,FAILED,FAILED,3664.56,FAILED
20-100-p100-55_unsat,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4054.30,FAILED,3337.22,3927.95,3649.22,FAILED,FAILED,FAILED,FAILED,FAILED,4836.67,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
2bitcomp_5.hg_20,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4970.45,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
51.smt2,UNSATISFIABLE,309.72,FAILED,FAILED,FAILED,4794.43,181.51,326.59,FAILED,392.80,803.71,200.07,FAILED,4985.06,4784.62,1755.61,173.16,1346.07,1772.87,556.96,244.22,43.01,611.64,445.03,FAILED
73.smt2,UNSATISFIABLE,371.75,FAILED,FAILED,FAILED,1229.32,344.17,265.14,FAILED,418.58,457.91,234.99,FAILED,2477.83,4427.09,1970.13,445.49,1301.35,1515.65,3541.51,1477.90,503.62,1128.52,1081.99,FAILED
