cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,precosat-2009,rsat-2007,satelite-gti-2005,zchaff-2004
009-80-8,SATISFIABLE,678.47,FAILED,FAILED,FAILED,1063.12,284.60,821.12,FAILED,397.95,2796.38,2806.35,FAILED,FAILED,573.90,623.29,911.48,425.14,421.60,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
01-integer-programming-20-30-40,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3319.08,1174.65,1188.74,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1609.67,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
01-integer-programming-5-10-100,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
170055892,SATISFIABLE,FAILED,3429.48,193.91,FAILED,FAILED,FAILED,FAILED,FAILED,0.92,0.32,0.27,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
170058143,SATISFIABLE,119.89,FAILED,1312.55,FAILED,FAILED,FAILED,FAILED,FAILED,4.51,6.96,6.87,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
170058440,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1833.84,135.18,167.14,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,32.96,FAILED
170059081,SATISFIABLE,FAILED,FAILED,3793.36,FAILED,FAILED,FAILED,FAILED,FAILED,0.40,1.83,0.40,FAILED,FAILED,FAILED,411.55,4068.57,FAILED,FAILED,FAILED,548.02,FAILED,FAILED,FAILED,FAILED
170059722,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,947.44,360.50,542.85,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
170104584,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
170105432,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,125.46,4.73,6.88,FAILED,2496.47,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4801.68,FAILED,FAILED,FAILED,FAILED
170153306,SATISFIABLE,FAILED,FAILED,1419.26,FAILED,FAILED,FAILED,FAILED,FAILED,3.21,22.45,4.47,FAILED,FAILED,FAILED,FAILED,756.55,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
170154931,SATISFIABLE,FAILED,FAILED,475.35,FAILED,FAILED,FAILED,FAILED,FAILED,9.47,4.72,1.78,FAILED,FAILED,FAILED,FAILED,1115.56,FAILED,FAILED,FAILED,FAILED,2278.22,FAILED,FAILED,FAILED
170222843,SATISFIABLE,FAILED,FAILED,2489.01,FAILED,FAILED,FAILED,FAILED,FAILED,4.69,7.29,3.22,FAILED,FAILED,FAILED,FAILED,816.08,FAILED,FAILED,FAILED,1016.42,FAILED,FAILED,FAILED,FAILED
170223547,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,6.19,4.72,9.56,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,793.96,FAILED,1329.49,FAILED,FAILED
170225515,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,347.59,259.32,33.68,FAILED,FAILED,FAILED,FAILED,FAILED,1093.06,1138.25,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
170225812,SATISFIABLE,FAILED,FAILED,2227.53,FAILED,FAILED,FAILED,FAILED,FAILED,4.65,4.83,2.79,FAILED,2198.60,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2067.58,FAILED,FAILED,FAILED,FAILED
22930-0426-195.smt2,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1809.94,2797.42,2366.01,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
22930-0601-11.smt2,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2005.65,1931.30,2050.77,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
3bitadd_32.cnf.gz.CP3-cnfmiter,UNSATISFIABLE,855.16,3558.82,FAILED,FAILED,FAILED,2763.99,1873.25,FAILED,17.98,42.87,43.44,FAILED,205.71,1467.76,2996.39,230.89,FAILED,61.41,FAILED,4347.81,26.73,FAILED,FAILED,314.07
