cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,precosat-2009,rsat-2007,satelite-gti-2005,zchaff-2004
desmul.miter.shuffled-as.sat03-350,UNSATISFIABLE,40.92,55.71,FAILED,42.59,42.03,23.07,24.38,FAILED,14.39,15.87,16.70,FAILED,64.94,79.61,127.12,134.93,135.07,135.02,39.25,21.13,39.15,54.43,40.25,118.21
dme-03-1-k247-unsat.shuffled-as.sat03-407,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
dp11u10.shuffled-as.sat03-422,UNSATISFIABLE,243.53,106.00,FAILED,FAILED,30.85,63.51,62.00,FAILED,14.82,24.20,27.12,FAILED,89.49,79.95,39.01,77.16,49.92,56.78,51.74,80.59,32.75,106.05,81.83,FAILED
dp12u11.shuffled-as.sat03-423,UNSATISFIABLE,1674.30,1640.07,FAILED,FAILED,283.75,361.74,1095.32,FAILED,140.70,232.90,211.38,FAILED,648.62,556.75,383.28,281.84,423.09,450.99,625.54,FAILED,557.89,FAILED,1539.15,FAILED
f2clk_40.shuffled-as.sat03-424,UNSATISFIABLE,9.70,235.95,FAILED,FAILED,36.95,13.34,11.36,FAILED,12.41,12.23,12.06,FAILED,21.57,29.46,26.52,39.91,37.34,39.30,29.00,18.10,21.98,29.33,22.22,3726.86
f2clk_50.shuffled-as.sat03-425,UNSATISFIABLE,36.79,FAILED,FAILED,FAILED,159.07,56.35,47.24,FAILED,61.21,59.56,59.64,FAILED,133.02,141.96,128.26,78.75,106.10,129.11,472.36,128.39,123.05,247.17,419.16,FAILED
ferry10.shuffled-as.sat03-378,SATISFIABLE,0.67,0.83,FAILED,0.56,0.13,0.12,0.10,FAILED,0.02,0.03,0.03,0.09,0.73,1.94,0.09,6.50,5.49,7.64,0.07,0.05,0.25,0.15,0.13,1.45
ferry10u.shuffled-as.sat03-379,SATISFIABLE,0.67,0.56,FAILED,0.77,0.11,0.19,0.14,FAILED,0.03,0.04,0.03,0.22,0.34,0.30,0.07,4.75,7.85,4.51,0.17,0.08,0.32,0.13,0.13,0.04
ferry11.shuffled-as.sat03-380,SATISFIABLE,0.74,0.68,FAILED,0.81,0.25,0.16,0.21,FAILED,0.09,0.09,0.09,0.24,1.69,0.29,0.12,6.60,5.89,5.36,0.08,0.09,0.22,0.15,0.22,0.05
ferry11u.shuffled-as.sat03-381,SATISFIABLE,0.69,0.87,FAILED,0.30,0.19,0.14,0.13,FAILED,0.02,0.03,0.03,0.09,0.49,1.23,0.07,7.73,5.17,7.91,0.12,0.08,0.25,0.18,0.15,0.56
ferry12.shuffled-as.sat03-382,SATISFIABLE,1.33,2.08,FAILED,14.19,4.28,0.53,0.33,FAILED,0.45,0.54,0.52,2.08,2.61,7.87,0.49,6.31,5.41,6.60,0.44,0.48,1.66,4.15,0.94,85.98
ferry12u.shuffled-as.sat03-383,SATISFIABLE,1.11,0.70,FAILED,1.57,0.16,0.66,0.19,FAILED,0.43,0.81,0.74,3.18,0.56,3.57,0.10,9.31,7.94,7.07,0.67,0.38,2.06,0.58,0.41,17.38
ferry8.shuffled-as.sat03-384,SATISFIABLE,0.34,0.46,FAILED,0.53,0.13,0.53,0.10,FAILED,0.14,0.13,0.13,0.76,1.31,0.20,0.04,7.67,5.80,4.53,0.07,0.04,0.12,0.45,0.24,0.28
ferry8u.shuffled-as.sat03-385,SATISFIABLE,0.36,0.50,FAILED,0.26,0.11,0.09,0.06,852.98,0.04,0.04,0.05,0.54,0.68,0.16,0.07,5.42,4.17,4.71,0.06,0.09,0.16,0.39,0.16,0.10
ferry9.shuffled-as.sat03-386,SATISFIABLE,0.42,0.56,FAILED,0.35,0.73,0.10,0.08,FAILED,0.11,0.13,0.11,0.11,0.34,0.21,0.05,4.98,4.72,4.36,0.07,0.13,0.25,0.22,0.14,0.88
ferry9u.shuffled-as.sat03-387,SATISFIABLE,0.50,0.53,FAILED,0.23,0.16,0.07,0.06,FAILED,0.05,0.07,0.07,0.15,0.33,0.67,0.05,5.34,5.60,6.59,0.06,0.18,0.27,0.12,0.12,0.24
fifo8_300.shuffled-as.sat03-426,UNSATISFIABLE,18.90,2777.16,FAILED,263.96,26.50,9.82,9.12,FAILED,10.36,11.57,12.46,FAILED,15.80,20.66,25.52,31.71,44.35,32.80,20.13,11.35,11.42,21.04,14.86,385.29
fifo8_400.shuffled-as.sat03-427,UNSATISFIABLE,34.30,FAILED,FAILED,1282.57,52.77,20.55,14.96,FAILED,18.72,19.77,22.08,FAILED,37.48,30.95,58.65,40.30,50.54,103.62,50.00,30.14,23.78,40.95,32.73,1488.52
frg1mul.miter.shuffled-as.sat03-351,UNSATISFIABLE,194.72,FAILED,FAILED,FAILED,313.51,579.02,241.65,FAILED,82.89,95.25,98.57,FAILED,505.30,306.15,2020.20,177.31,1741.69,716.38,FAILED,FAILED,FAILED,FAILED,FAILED,2433.42
frg2mul.miter.shuffled-as.sat03-352,UNSATISFIABLE,46.24,218.76,FAILED,3233.45,88.48,39.51,28.79,FAILED,14.70,13.87,13.85,FAILED,63.00,100.30,37.75,41.89,46.43,46.96,152.63,32.41,67.22,89.02,88.97,298.00
gripper10.shuffled-as.sat03-388,SATISFIABLE,5.27,1924.02,FAILED,FAILED,63.61,9.91,2.06,FAILED,5.53,5.50,5.61,FAILED,15.81,13.51,2110.21,44.07,891.99,1160.34,718.72,328.99,8.17,5.15,1901.27,FAILED
gripper10u.shuffled-as.sat03-389,UNSATISFIABLE,15.86,FAILED,FAILED,FAILED,395.16,65.70,75.74,FAILED,54.37,104.55,102.85,FAILED,29.42,74.36,2610.24,81.90,430.57,1542.26,1321.85,1576.89,114.83,FAILED,3423.54,FAILED
gripper11.shuffled-as.sat03-390,SATISFIABLE,11.85,FAILED,FAILED,FAILED,62.53,12.25,5.23,FAILED,9.32,27.27,24.79,FAILED,12.42,35.12,2529.89,38.57,2514.66,2507.01,1998.87,18.56,10.57,53.94,267.39,FAILED
gripper11u.shuffled-as.sat03-391,UNSATISFIABLE,97.23,FAILED,FAILED,FAILED,2037.54,1956.69,804.59,FAILED,421.49,240.55,161.51,FAILED,136.29,358.63,2999.90,164.79,2730.60,2872.65,FAILED,4816.26,1229.12,FAILED,FAILED,FAILED
gripper12.shuffled-as.sat03-392,SATISFIABLE,10.05,FAILED,FAILED,FAILED,65.45,26.32,8.62,FAILED,15.97,36.39,37.67,FAILED,24.56,19.55,2513.71,86.65,2508.82,2518.60,FAILED,61.37,21.49,FAILED,FAILED,FAILED
gripper12u.shuffled-as.sat03-393,UNSATISFIABLE,147.37,FAILED,FAILED,FAILED,631.09,2799.63,366.94,FAILED,278.61,568.61,1079.80,FAILED,253.20,1358.44,3095.62,313.97,3146.30,3109.97,FAILED,4063.10,414.51,FAILED,FAILED,FAILED
gripper13.shuffled-as.sat03-394,SATISFIABLE,35.56,FAILED,FAILED,FAILED,146.60,83.77,19.90,FAILED,57.79,35.15,46.50,FAILED,21.54,102.38,2529.90,50.15,2536.91,2520.41,FAILED,213.35,31.58,162.96,1344.61,FAILED
gripper13u.shuffled-as.sat03-395,UNSATISFIABLE,1376.12,FAILED,FAILED,FAILED,FAILED,3622.02,FAILED,FAILED,3340.94,2335.32,1477.28,FAILED,FAILED,FAILED,FAILED,2100.52,FAILED,4460.58,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
gripper14.shuffled-as.sat03-396,SATISFIABLE,61.61,FAILED,FAILED,FAILED,90.95,111.62,40.92,FAILED,127.88,41.02,40.70,FAILED,30.69,123.87,2573.95,138.96,2519.94,2573.72,FAILED,77.94,33.99,53.86,4578.25,FAILED
gripper14u.shuffled-as.sat03-397,UNSATISFIABLE,1644.63,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3423.62,4004.80,FAILED,FAILED,FAILED,FAILED,FAILED,1773.87,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
guidance-1-k56-unsat.shuffled-as.sat03-408,UNSATISFIABLE,53.84,FAILED,FAILED,FAILED,212.63,54.69,48.74,FAILED,54.16,62.90,56.72,FAILED,57.38,60.24,91.49,117.97,112.39,126.22,277.11,90.72,117.99,212.91,240.75,FAILED
hanoi4.shuffled-as.sat03-398,SATISFIABLE,0.43,1.05,FAILED,1.90,0.46,0.25,0.57,1385.73,0.32,0.38,0.38,10.56,1.46,1.84,0.29,7.77,5.09,5.42,0.20,0.21,0.16,0.50,0.46,2.40
hanoi4u.shuffled-as.sat03-399,UNSATISFIABLE,0.44,0.87,FAILED,2.55,0.52,0.37,0.36,FAILED,0.19,0.32,0.28,7.30,1.52,1.51,0.25,7.29,5.82,4.95,0.29,0.49,0.32,0.84,0.33,2.02
hanoi5.shuffled-as.sat03-400,SATISFIABLE,6.71,232.08,FAILED,FAILED,154.67,34.72,9.17,FAILED,5.86,16.66,19.53,FAILED,11.59,17.08,79.32,66.45,50.66,60.79,340.54,18.57,9.82,119.54,174.10,FAILED
hanoi5u.shuffled-as.sat03-401,UNSATISFIABLE,7.66,83.80,FAILED,FAILED,61.30,12.97,4.89,FAILED,8.91,13.48,13.79,FAILED,11.68,14.95,88.57,46.08,53.14,43.17,237.36,10.30,7.41,59.53,122.60,FAILED
homer17.shuffled-as.sat03-428,UNSATISFIABLE,FAILED,FAILED,FAILED,96.52,3897.65,3780.14,FAILED,FAILED,1457.95,2497.21,2560.11,304.44,0.02,0.11,760.28,2175.71,647.45,649.70,710.01,FAILED,FAILED,FAILED,2116.15,81.81
homer18.shuffled-as.sat03-429,UNSATISFIABLE,FAILED,FAILED,FAILED,235.83,FAILED,FAILED,FAILED,FAILED,275.78,417.02,433.32,2653.85,0.01,0.07,1121.21,3942.88,1015.90,1001.81,1317.72,FAILED,FAILED,FAILED,2489.43,349.01
homer19.shuffled-as.sat03-430,UNSATISFIABLE,FAILED,FAILED,FAILED,643.47,4431.72,FAILED,FAILED,FAILED,3212.73,3246.71,3147.40,3125.37,0.01,0.04,2218.19,3718.43,1433.08,961.87,2383.99,FAILED,FAILED,FAILED,2162.90,873.61
homer20.shuffled-as.sat03-431,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2477.09,3642.65,3461.77,FAILED,0.02,0.02,FAILED,3664.11,2249.94,1125.22,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
i10mul.miter.shuffled-as.sat03-353,UNSATISFIABLE,35.61,4451.05,FAILED,FAILED,92.43,52.20,43.92,FAILED,24.62,32.44,31.14,FAILED,89.54,102.03,153.52,45.89,55.02,69.77,FAILED,198.19,131.74,891.98,2090.26,3041.60
i8mul.miter.shuffled-as.sat03-354,UNSATISFIABLE,107.28,547.75,FAILED,2575.76,270.33,149.17,108.25,FAILED,97.94,125.10,137.34,FAILED,268.83,379.95,147.46,113.47,145.10,172.41,222.75,183.25,335.04,404.13,266.47,FAILED
ip36.shuffled-as.sat03-432,UNSATISFIABLE,1.51,9.02,FAILED,1015.05,3.16,2.04,1.35,FAILED,3.02,3.55,3.53,1147.68,3.96,3.82,1.69,15.37,13.94,15.78,3.04,1.85,1.50,2.84,3.64,51.20
ip38.shuffled-as.sat03-433,UNSATISFIABLE,1.75,23.97,FAILED,2725.29,4.49,2.19,1.74,FAILED,3.40,3.84,4.34,3405.19,3.44,2.61,2.18,14.08,12.34,12.59,3.95,2.48,2.21,4.44,3.48,73.59
ip50.shuffled-as.sat03-434,UNSATISFIABLE,2.71,152.37,FAILED,FAILED,13.08,3.06,3.52,FAILED,3.96,4.64,5.10,FAILED,6.47,4.42,2.62,10.09,11.01,10.40,8.64,3.84,2.82,6.32,4.61,712.62
k2fix_gr_2pin_w8.shuffled-as.sat03-437,UNSATISFIABLE,76.36,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2.40,2.38,FAILED,4.71,21.75,FAILED,604.45,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
k2fix_gr_2pin_w9.shuffled-as.sat03-438,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,9.26,1.57,FAILED,FAILED,53.54,20.83,21.16,FAILED,FAILED,FAILED,22.10,16.75,FAILED,FAILED,482.80,1616.35,FAILED,FAILED,FAILED,FAILED
k2fix_gr_2pinvar_w8.shuffled-as.sat03-435,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,1.73,FAILED,FAILED,FAILED,44.26,FAILED,13.58,FAILED,57.32,122.55,FAILED,1761.03,10.32,FAILED,FAILED,2069.28,6.84,340.99,5.93,FAILED
k2fix_gr_2pinvar_w9.shuffled-as.sat03-436,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,2.94,26.71,FAILED,3.72,9.19,9.09,FAILED,72.31,37.61,FAILED,15.74,20.56,25.11,22.14,11.59,2249.90,44.27,3323.59,FAILED
k2fix_gr_rcs_w8.shuffled-as.sat03-439,UNSATISFIABLE,23.35,FAILED,FAILED,FAILED,FAILED,4047.99,FAILED,FAILED,2591.96,2349.82,2362.68,FAILED,6.91,FAILED,FAILED,20.11,19.02,20.17,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
k2mul.miter.shuffled-as.sat03-355,UNSATISFIABLE,1611.92,FAILED,FAILED,FAILED,1714.21,1441.09,1136.30,FAILED,526.83,852.18,791.98,FAILED,2695.43,4646.78,1518.62,1139.18,1103.10,1431.09,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
li-exam-61.shuffled-as.sat03-366,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
li-exam-62.shuffled-as.sat03-367,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
li-exam-63.shuffled-as.sat03-368,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
li-exam-64.shuffled-as.sat03-369,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
li-test4-100.shuffled-as.sat03-370,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
li-test4-101.shuffled-as.sat03-371,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
li-test4-94.shuffled-as.sat03-372,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
li-test4-95.shuffled-as.sat03-373,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
li-test4-96.shuffled-as.sat03-374,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
li-test4-97.shuffled-as.sat03-375,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
li-test4-98.shuffled-as.sat03-376,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
li-test4-99.shuffled-as.sat03-377,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
motors-stuck-1-k407-unsat.shuffled-as.sat03-409,UNSATISFIABLE,521.78,FAILED,FAILED,FAILED,2754.30,1361.04,991.10,FAILED,349.25,456.08,375.67,FAILED,483.83,752.87,1059.50,1135.03,990.02,1015.60,1629.53,591.62,612.59,1054.49,384.21,FAILED
motors-stuck-2-k314-unsat.shuffled-as.sat03-410,UNSATISFIABLE,94.29,FAILED,FAILED,FAILED,239.56,35.66,105.13,FAILED,80.13,101.29,116.03,FAILED,85.79,106.13,67.63,156.84,405.03,147.75,43.30,49.86,123.16,80.19,36.95,FAILED
motors-stuck-2-k315-sat.shuffled-as.sat03-411,SATISFIABLE,68.74,FAILED,FAILED,FAILED,132.50,37.55,54.39,FAILED,80.96,111.61,101.81,FAILED,84.69,96.78,41.47,109.57,131.91,167.45,77.27,35.02,112.98,55.82,86.29,FAILED
rotmul.miter.shuffled-as.sat03-356,UNSATISFIABLE,14.01,156.40,FAILED,FAILED,32.74,9.94,8.04,FAILED,6.27,7.58,8.18,FAILED,26.69,36.70,15.71,23.39,16.41,17.48,52.51,8.71,12.48,24.36,88.04,72.59
sha1.shuffled-as.sat03-441,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
sha2.shuffled-as.sat03-442,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
term1mul.miter.shuffled-as.sat03-357,UNSATISFIABLE,11.34,161.34,FAILED,FAILED,134.20,14.95,9.53,FAILED,6.29,11.13,7.74,FAILED,26.94,32.60,87.65,26.88,42.97,40.71,638.71,86.44,40.33,589.51,490.42,176.37
valves-gates-1-k617-unsat.shuffled-as.sat03-412,UNSATISFIABLE,2181.98,FAILED,FAILED,FAILED,FAILED,2431.56,2183.22,FAILED,1386.14,2078.04,1947.69,FAILED,4931.91,4099.49,4760.51,FAILED,4316.05,FAILED,FAILED,2975.15,3249.52,FAILED,FAILED,FAILED
vdamul.miter.shuffled-as.sat03-358,UNSATISFIABLE,32.31,102.42,FAILED,998.80,47.97,30.78,23.62,FAILED,16.14,20.99,22.03,1202.68,40.97,60.51,33.28,45.36,32.91,37.54,82.36,33.30,66.72,75.43,63.74,446.10
