cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,precosat-2009,rsat-2007,satelite-gti-2005,zchaff-2004
6pipe.shuffled-as.sat03-414,UNSATISFIABLE,74.46,22.06,FAILED,FAILED,299.89,331.90,407.08,FAILED,27.50,26.08,31.01,FAILED,42.58,73.74,2526.96,89.50,2532.77,2533.28,FAILED,3941.51,58.87,FAILED,FAILED,57.20
6pipe_6_ooo.shuffled-as.sat03-413,UNSATISFIABLE,50.88,28.05,FAILED,1198.03,81.55,83.04,33.55,FAILED,28.86,33.97,34.21,FAILED,83.80,140.12,139.86,70.31,85.23,106.25,1296.55,54.25,41.15,144.54,579.87,115.55
7pipe.shuffled-as.sat03-415,UNSATISFIABLE,56.00,71.59,FAILED,FAILED,208.82,4098.46,220.81,FAILED,43.53,68.29,66.27,FAILED,104.48,163.61,2545.45,125.20,2586.46,2600.23,FAILED,FAILED,115.43,FAILED,FAILED,178.23
C880mul.miter.shuffled-as.sat03-348,UNSATISFIABLE,1.71,13.79,FAILED,FAILED,9.35,3.28,0.79,FAILED,0.86,0.90,0.95,FAILED,3.75,3.97,1.46,5.35,5.62,4.73,24.96,2.41,1.94,15.94,24.33,40.68
abp1-1-k31-unsat.shuffled-as.sat03-402,UNSATISFIABLE,5.81,163.98,FAILED,FAILED,23.32,6.27,6.90,FAILED,4.63,4.70,5.82,FAILED,9.46,8.80,16.71,25.70,27.86,23.58,24.66,16.87,8.95,25.58,125.50,3058.56
abp4-1-k31-unsat.shuffled-as.sat03-403,UNSATISFIABLE,4.45,171.28,FAILED,FAILED,24.80,8.85,6.57,FAILED,6.03,6.76,6.31,FAILED,7.83,8.38,17.24,25.66,24.49,27.75,49.74,17.88,8.81,27.48,53.29,2548.38
alu4mul.miter.shuffled-as.sat03-344,UNSATISFIABLE,56.42,328.82,FAILED,2652.56,175.32,93.96,80.52,FAILED,63.10,99.44,97.94,2488.82,121.29,213.10,73.06,115.12,77.80,77.60,190.08,129.10,254.03,401.23,175.77,3637.67
am_4_4.shuffled-as.sat03-360,UNSATISFIABLE,0.32,0.57,0.94,0.32,0.14,0.14,0.12,277.05,0.12,0.17,0.17,0.13,0.71,0.37,0.20,2.88,2.77,2.82,0.18,0.22,0.10,0.49,0.23,0.14
am_5_5.shuffled-as.sat03-361,UNSATISFIABLE,12.66,5.97,741.10,32.81,3.23,3.45,2.29,FAILED,1.49,2.61,3.52,48.36,9.49,6.70,4.42,12.94,12.56,11.81,2.17,2.29,4.64,3.72,5.24,12.29
am_6_6.shuffled-as.sat03-362,UNSATISFIABLE,1788.82,FAILED,FAILED,FAILED,1935.52,401.72,682.17,FAILED,866.31,1579.42,1403.16,FAILED,4269.85,FAILED,580.14,269.52,522.11,559.37,1538.51,3480.69,FAILED,FAILED,1825.57,FAILED
am_7_7.shuffled-as.sat03-363,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
am_8_8.shuffled-as.sat03-364,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
am_9_9.shuffled-as.sat03-365,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
bc56-sensors-1-k391-unsat.shuffled-as.sat03-404,UNSATISFIABLE,499.06,FAILED,FAILED,FAILED,4877.55,720.92,747.77,FAILED,504.65,568.84,598.03,FAILED,464.35,636.95,820.30,609.77,1019.11,973.67,1799.68,508.72,1099.96,1617.87,2344.66,FAILED
bc56-sensors-2-k592-unsat.shuffled-as.sat03-405,UNSATISFIABLE,1914.44,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3289.11,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
bc57-sensors-1-k303-unsat.shuffled-as.sat03-406,UNSATISFIABLE,685.19,FAILED,FAILED,FAILED,2687.90,1155.44,1252.37,FAILED,749.41,918.02,895.84,FAILED,781.69,855.32,1429.82,1457.57,1341.91,1560.14,4700.24,1929.93,1564.83,4817.54,2475.99,FAILED
c3540mul.miter.shuffled-as.sat03-345,UNSATISFIABLE,18.45,530.61,FAILED,FAILED,120.50,57.40,33.24,FAILED,14.39,17.44,16.72,FAILED,62.12,48.12,100.69,24.94,66.19,73.84,732.57,844.44,138.64,403.37,814.22,FAILED
c6288mul.miter.shuffled-as.sat03-346,UNSATISFIABLE,748.82,FAILED,FAILED,FAILED,454.72,4163.39,1675.62,FAILED,360.81,389.58,395.34,FAILED,FAILED,FAILED,3625.83,169.00,2604.33,2630.17,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
c7552mul.miter.shuffled-as.sat03-347,UNSATISFIABLE,6.61,11.00,FAILED,627.57,7.01,4.85,5.20,FAILED,2.38,2.80,2.83,FAILED,10.66,13.33,2.79,7.20,7.55,7.38,5.80,3.74,4.62,8.33,6.32,24.72
cnf-r4-b1-k1.1-comp.shuffled-as.sat03-416,SATISFIABLE,216.08,1826.63,FAILED,FAILED,79.43,125.02,66.85,FAILED,42.57,187.12,187.46,FAILED,81.37,31.52,160.83,280.50,246.97,357.11,165.49,24.24,69.67,796.38,496.07,FAILED
cnf-r4-b1-k1.2-comp.shuffled-as.sat03-417,SATISFIABLE,104.27,361.35,FAILED,FAILED,100.34,1489.62,864.66,FAILED,94.23,95.65,95.31,FAILED,45.60,61.71,27.84,292.50,160.65,61.63,118.77,11.34,17.01,270.37,295.59,FAILED
cnt10.shuffled-as.sat03-418,SATISFIABLE,24.25,561.46,FAILED,FAILED,31.74,13.53,17.29,FAILED,20.26,30.94,32.17,FAILED,31.58,36.86,31.63,23.22,31.95,32.86,62.72,23.90,11.71,52.12,57.72,389.26
comb1.shuffled-as.sat03-419,UNSATISFIABLE,2303.42,FAILED,FAILED,FAILED,347.17,3442.94,83.64,FAILED,36.48,66.67,82.11,FAILED,FAILED,FAILED,2603.84,35.72,2518.16,2564.67,FAILED,798.16,FAILED,FAILED,FAILED,FAILED
comb2.shuffled-as.sat03-420,UNSATISFIABLE,9.12,32.80,FAILED,4132.82,19.86,5.58,4.82,FAILED,5.66,6.97,7.05,FAILED,10.24,10.71,10.68,24.42,32.35,28.05,26.19,8.52,6.89,25.57,22.79,120.23
comb3.shuffled-as.sat03-421,UNSATISFIABLE,11.19,90.70,FAILED,3843.02,13.83,10.17,8.17,FAILED,3.60,4.71,5.25,4844.97,16.12,14.05,14.64,28.36,24.14,25.75,19.75,23.25,18.06,17.63,12.35,2580.80
dalumul.miter.shuffled-as.sat03-349,UNSATISFIABLE,129.23,2504.62,FAILED,FAILED,226.80,241.57,243.69,FAILED,52.21,56.94,57.73,FAILED,189.88,164.13,257.71,116.39,256.53,253.42,1725.66,1901.70,760.33,1477.71,1652.52,FAILED
